,Lat.,Long.,Road,Cross reference,Distance,Direction,Location,,Sign Type,C2C,Arrows,,,,No Fires,No Camping,USFS,Hiker,Cross,Blind,Blinds,Hiking,Biking,No Horses,C2C,Arrows,,,,USFS,Hiker,Cross,Blind,Blinds,Hiking,Biking,No Horses,No Fires,No Camping,Remarks
,,,,,,,,,,,Left,Right,Up,Dual,,,,,,,,,,,,Left,Right,Up,Both,,,,,,,,,,,
57,44 32.381,-123 37.132,Lincoln County Rd 538,previous sign,0.5 mi,ESE,at Forest Service boundary,walk in,Carsonite,1,,,1,,1,1,,,,,,,,,1,,,1,,1,,,,,,,,1,,
58,44 32.090,-123 37.286,Lincoln County Rd 538,Marys Pk Rd,1.0 mi,E,1.0 mi East of gate at Marys Peak Rd north side,gated,Carsonite,1,,,1,,1,1,,,,,,,,,1,1,,,,,,,,,,,,1,1,
59,44 32.085,-123 37.319,Lincoln County Rd 538,Marys Pk Rd,1.0 mi,E,1.0 mi East of gate at Marys Peak Rd south side,gated,Carsonite,1,,1,,,1,1,,,,,,,,,1,,,1,,,,,,,,,,1,1,
60,44 31.659,-123 38.274,Marys Peak Rd,Burnt Woods Rd,3.4 mi,E,SW corner of inter 30 ft near Van Eck gate,,Carsonite,1,1,,,,1,1,,,,,,,,,1,,,1,,,,,,,,,,1,1,
61,44 31.656,-123 38.293,Marys Peak Rd,Burnt Woods Rd,3.4 mi,E,NE corner of inter 10 ft near Van Eck gate,,Carsonite,1,,,1,,1,1,,,,,,,,,1,,,1,,,,,,,,,,1,1,
62,44 32.005,-123 40.340,Marys Peak Rd,Burnt Woods Rd,1.5 mi,E,north side,curves,Carsonite,1,,,1,,1,1,,,,,,,,,1,,,,,,1,1,,1,,,,1,1,
63,44 32.265,-123 40.567,Marys Peak Rd,Burnt Woods Rd,1.1 mi,E,north side across from Rd 3015 inter,,Carsonite,1,,,1,,1,1,,,,,,,,,1,,,1,,,,,,,,,,1,1,
64,44 32.270,-123 41.147,Marys Peak Rd,Burnt Woods Rd,0.45 mi,E,north side,curve,Carsonite,1,,,1,,1,,,,,,,,,,1,,,,,,1,1,1,,,,,,,
65,44 32.310,-123 41.247,Marys Peak Rd,Burnt Woods Rd,0.4 mi,E,north side,curve,Carsonite,1,,,1,,1,,,,,,,,,,1,,,,,,1,1,1,,,,,,,
66,44 32.368,-123 41.461,Marys Peak Rd,Burnt Woods Rd,0.2 mi,E,north side,curve,Carsonite,1,,,1,,1,,,,,,,,,,1,,,,,,1,1,1,,,,,,,
67,not needed,for one call,Marys Peak Rd,Burnt Woods Rd,0 mi,,existing post at Harlan intersection,,Aluminum,,,,,x,,,,,,,,,,,1,,,,,,,,,,,,,,,
68,44 32.503,-123 41.729,Elk City Rd,Feagle Creek Rd,0,,north side at insection,,Carsonite,1,,,1,,1,1,,,,,,,,,1,,,,,,,,,,,,,1,1,
69,44 32.509,-123 42.654,Elk City Rd,Grant Creek Rd,0.1 mi,ESE,north side,curve,Carsonite,1,,,1,,1,1,,,,,,,,,1,,,,,,1,1,1,,,,,,,
70,44 32.581,-123 42.725,Elk City Rd,Grant Creek Rd,0,,north side at intersection,,Carsonite,1,,,1,,1,1,,,,,,,,,1,,,,,,,,,,,,,1,1,
71,44 32.646,-123 42.313,Elk City Rd,Grant Creek Rd,0.5 mi,W,at Big Elk Campground - north side,,Carsonite,1,1,,,,,,,,,,,,,,1,,1,,,,,,,,,,,1,1,
72,44 32.658,-123 43.337,Elk City Rd,Grant Creek Rd,0.5 mi,W,at Big Elk Campground - south side,,Carsonite,1,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,1,1,
,,,,,,,,,,61,7,3,48,0,55,45,5,1,1,1,0,0,0,1,57,5,6,39,0,5,6,6,5,1,0,0,1,58,54,
,,,,,,,,,,,stickers,sheets,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,C2C,,,,118,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,No Fires,,,,115,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Arrow,,,,108,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,No Camping,,,,98,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,USFS,,,,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,No Horses,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
